,city,state,20th,40th,Median,60th,80th,95th,murders,murdersper100k,rapes,rapesper100k,robberies,robberiesper100k,assaults,assaultsper100k,burglaries,burglariesper100k,thefts,theftsper100k,autothefts,autotheftsper100k,arson,arsonper100k,crime index,income inequality
0,Alabaster,Alabama,33578,61734,73325,85277,122176,177359,0.0,0.0,0.0,0.0,5.0,15.0,69.0,207.5,44.0,132.3,462.0,1389.3,21.0,63.2,,,115.9,143781
1,Albertville,Alabama,17270,27280,32042,43119,73798,128375,0.0,0.0,7.0,32.4,7.0,32.4,8.0,37.1,145.0,671.7,413.0,1913.1,90.0,416.9,,,200.0,111105
2,Anniston,Alabama,12553,22337,30539,39541,65472,143838,14.0,63.8,47.0,214.1,71.0,323.4,622.0,2833.1,542.0,2468.7,700.0,3188.3,110.0,501.0,,,1302.8,131285
3,Athens,Alabama,16777,33804,45920,57566,104817,199193,1.0,3.8,0.0,0.0,12.0,46.1,0.0,0.0,86.0,330.7,597.0,2295.8,12.0,46.1,,,140.2,182416
4,Auburn,Alabama,10718,26433,38912,53137,106853,198103,4.0,6.2,17.0,26.2,30.0,46.3,166.0,256.1,156.0,240.6,1454.0,2242.8,101.0,155.8,,,217.4,187385
5,Bessemer,Alabama,12497,24200,30682,39724,68488,115894,10.0,37.9,25.0,94.8,117.0,443.9,635.0,2409.0,495.0,1877.8,1867.0,7082.7,219.0,830.8,,,1247.9,103397
6,Birmingham,Alabama,12217,24676,32404,41532,68837,125611,79.0,37.2,159.0,74.9,1114.0,524.8,2355.0,1109.3,3146.0,1481.9,8838.0,4163.2,1515.0,713.6,145.0,68.3,841.0,113394
7,Cullman,Alabama,15091,33146,40129,49040,80061,131531,1.0,6.4,8.0,51.2,1.0,6.4,12.0,76.9,70.0,448.3,505.0,3234.5,39.0,249.8,,,251.8,116440
8,Daphne,Alabama,24224,48136,61508,76649,118944,203269,0.0,0.0,1.0,3.7,9.0,33.7,24.0,90.0,74.0,277.5,464.0,1739.8,18.0,67.5,,,125.5,179045
9,Decatur,Alabama,16869,32375,42602,54318,88674,154311,9.0,16.4,20.0,36.4,53.0,96.4,117.0,212.9,431.0,784.2,1680.0,3056.9,173.0,314.8,,,335.7,137442
10,Dothan,Alabama,16714,33081,42569,53758,89563,182530,6.0,8.7,36.0,52.3,68.0,98.7,472.0,685.1,626.0,908.6,1909.0,2770.9,200.0,290.3,,,423.5,165816
11,Enterprise,Alabama,22040,43422,54217,69205,105169,170287,1.0,3.5,10.0,35.4,11.0,39.0,83.0,293.9,141.0,499.3,578.0,2046.8,48.0,170.0,,,236.3,148247
12,Fairhope,Alabama,30198,51456,61723,79381,128553,235087,0.0,0.0,6.0,29.7,4.0,19.8,42.0,208.1,89.0,441.0,490.0,2428.1,27.0,133.8,,,210.1,204889
13,Florence,Alabama,13520,26812,37058,45528,73823,143787,1.0,2.5,30.0,74.9,40.0,99.9,118.0,294.6,319.0,796.3,1239.0,3092.9,145.0,362.0,,,362.2,130267
14,Foley,Alabama,18773,36438,42172,54194,78652,133762,0.0,0.0,14.0,158.7,18.0,204.1,61.0,691.7,114.0,1292.7,800.0,9071.3,42.0,476.2,0.0,0.0,808.3,114989
15,Gadsden,Alabama,14087,23647,30496,38598,65466,116663,3.0,8.4,23.0,64.5,63.0,176.6,524.0,1469.2,497.0,1393.5,1914.0,5366.6,230.0,644.9,,,779.1,102576
16,Gardendale,Alabama,27013,47965,62668,73532,106833,175953,1.0,7.3,2.0,14.6,6.0,43.9,101.0,738.6,68.0,497.3,344.0,2515.5,18.0,131.6,,,333.2,148940
17,Hartselle,Alabama,21587,42860,54248,65304,91688,169091,0.0,0.0,1.0,6.9,1.0,6.9,20.0,137.9,35.0,241.3,260.0,1792.7,16.0,110.3,,,132.6,147504
18,Helena,Alabama,42076,72410,84888,95459,130937,177852,0.0,0.0,2.0,10.5,0.0,0.0,14.0,73.8,6.0,31.6,79.0,416.6,8.0,42.2,,,45.5,135776
19,Homewood,Alabama,27038,52924,66573,88491,149443,250001,2.0,7.7,12.0,46.5,38.0,147.2,32.0,123.9,137.0,530.5,772.0,2989.6,65.0,251.7,,,298.5,222963
20,Hoover,Alabama,35790,61017,78056,97548,150433,250001,2.0,2.3,17.0,19.9,33.0,38.5,30.0,35.0,213.0,248.7,701.0,818.6,64.0,74.7,2.0,2.3,95.3,214211
21,Hueytown,Alabama,20124,34455,41141,51323,79218,133456,2.0,12.9,8.0,51.7,11.0,71.1,68.0,439.5,78.0,504.1,453.0,2927.9,26.0,168.0,,,342.3,113332
22,Huntsville,Alabama,20002,38918,51441,66640,110721,204167,22.0,11.3,172.0,88.1,360.0,184.5,1212.0,621.0,1428.0,731.7,6758.0,3462.6,1046.0,535.9,,,505.2,184165
23,Jasper,Alabama,16541,30332,39075,51189,87459,168646,1.0,7.2,7.0,50.2,27.0,193.7,71.0,509.3,149.0,1068.9,714.0,5122.0,56.0,401.7,,,526.3,152105
24,Madison,Alabama,40628,73617,95423,114173,161961,239435,2.0,4.1,22.0,45.1,24.0,49.2,129.0,264.5,143.0,293.2,723.0,1482.3,65.0,133.3,,,202.4,198807
25,Millbrook,Alabama,25182,46649,59435,70719,104000,158011,2.0,12.9,9.0,57.9,11.0,70.8,23.0,148.0,86.0,553.5,480.0,3089.4,36.0,231.7,,,303.8,132829
26,Mobile,Alabama,14981,29156,38759,49862,82995,154654,50.0,20.1,142.0,57.2,440.0,177.1,1207.0,485.8,3023.0,1216.8,9267.0,3730.2,1259.0,506.8,57.0,22.9,511.2,139673
27,Montgomery,Alabama,16615,33458,43440,54827,90248,164783,38.0,19.1,52.0,26.1,346.0,173.8,841.0,422.4,2129.0,1069.3,5827.0,2926.7,844.0,423.9,,,421.5,148168
28,Northport,Alabama,21334,42835,52281,63304,95780,156579,0.0,0.0,5.0,19.7,14.0,55.3,28.0,110.5,82.0,323.6,556.0,2194.4,17.0,67.1,,,170.3,135245
29,Opelika,Alabama,15698,31244,41566,52409,81611,142482,5.0,16.4,21.0,68.9,47.0,154.2,150.0,492.2,220.0,721.9,1091.0,3579.9,88.0,288.8,,,449.5,126784
30,Oxford,Alabama,23988,42530,51928,65980,96990,147708,1.0,4.7,0.0,0.0,9.0,42.7,50.0,237.1,117.0,554.9,942.0,4467.8,42.0,199.2,,,303.2,123720
31,Ozark,Alabama,13960,28160,37522,50193,74355,138133,3.0,20.6,11.0,75.6,5.0,34.3,137.0,941.0,107.0,734.9,544.0,3736.5,31.0,212.9,,,518.1,124173
32,Pelham,Alabama,34692,56314,71864,84702,121686,187381,0.0,0.0,5.0,21.5,8.0,34.3,20.0,85.8,35.0,150.2,430.0,1844.7,39.0,167.3,,,142.3,152689
33,Prattville,Alabama,25147,45224,56364,70425,104043,160073,4.0,11.2,12.0,33.5,32.0,89.2,37.0,103.2,132.0,368.1,1025.0,2858.5,123.0,343.0,,,264.0,134926
34,Prichard,Alabama,9753,18784,25275,32137,58186,103255,9.0,40.7,11.0,49.7,96.0,434.0,288.0,1302.0,441.0,1993.8,746.0,3372.7,172.0,777.6,,,848.5,93502
35,Saraland,Alabama,24454,42696,54471,67487,95587,151524,0.0,0.0,4.0,28.6,3.0,21.4,38.0,271.4,74.0,528.6,496.0,3543.1,44.0,314.3,,,287.4,127070
36,Scottsboro,Alabama,16884,32394,40722,50763,79336,130246,0.0,0.0,9.0,61.4,4.0,27.3,179.0,1221.0,83.0,566.2,465.0,3171.9,38.0,259.2,,,488.7,113362
37,Selma,Alabama,8749,18131,23283,30592,55483,121817,8.0,41.5,21.0,108.9,79.0,409.7,240.0,1244.6,399.0,2069.2,988.0,5123.7,105.0,544.5,44.0,228.2,935.3,113068
38,Talladega,Alabama,13108,22333,29074,36143,57608,123938,1.0,6.5,5.0,32.6,21.0,136.8,109.0,709.8,217.0,1413.1,560.0,3646.8,54.0,351.7,,,495.0,110830
39,Troy,Alabama,9761,21737,28148,41585,75765,156745,1.0,5.2,5.0,25.8,23.0,118.8,193.0,996.9,193.0,996.9,735.0,3796.5,51.0,263.4,,,508.7,146984
40,Trussville,Alabama,42638,71558,84198,101512,143800,223436,0.0,0.0,2.0,10.4,22.0,114.6,4.0,20.8,101.0,526.1,811.0,4224.2,39.0,203.1,,,268.9,180798
41,Tuscaloosa,Alabama,14793,30055,40542,51995,86876,184545,9.0,8.9,54.0,53.4,168.0,166.1,243.0,240.3,814.0,805.0,3161.0,3125.9,199.0,196.8,,,355.5,169752
42,Avondale,Arizona,26420,45634,56120,68278,97483,151688,6.0,7.1,27.0,32.1,97.0,115.4,127.0,151.1,480.0,571.1,2633.0,3133.0,234.0,278.4,20.0,23.8,292.4,125268
43,Buckeye,Arizona,31063,50459,58711,68413,96589,155808,0.0,0.0,5.0,52.2,7.0,73.0,14.0,146.0,461.0,4809.1,236.0,2461.9,259.0,2701.9,2.0,20.9,744.1,124745
44,Chandler,Arizona,35178,60562,74329,89483,133755,219567,5.0,2.0,130.0,52.1,142.0,56.9,370.0,148.4,784.0,314.4,4653.0,1866.0,372.0,149.2,,,201.1,184389
45,Douglas,Arizona,11226,21629,29207,36571,62836,100813,1.0,6.1,0.0,0.0,3.0,18.2,37.0,225.0,94.0,571.7,549.0,3338.8,14.0,85.1,0.0,0.0,243.0,89587
46,Eloy,Arizona,13023,24065,30662,38031,67213,117272,1.0,5.7,4.0,22.8,5.0,28.5,80.0,455.8,154.0,877.4,326.0,1857.3,28.0,159.5,8.0,45.6,277.8,104249
47,Flagstaff,Arizona,18797,39251,50677,64155,104532,196233,7.0,9.7,35.0,48.4,57.0,78.7,208.0,287.3,161.0,222.4,2486.0,3434.3,82.0,113.3,36.0,49.7,301.1,177436
48,Glendale,Arizona,20058,36762,46817,59063,94657,164950,12.0,4.8,97.0,38.9,481.0,193.0,627.0,251.5,1589.0,637.5,8541.0,3426.4,1163.0,466.6,48.0,19.3,368.0,144892
49,Goodyear,Arizona,38356,61000,74417,87094,121904,202463,2.0,2.5,27.0,34.0,28.0,35.3,153.0,192.6,346.0,435.7,1817.0,2287.9,117.0,147.3,0.0,0.0,215.1,164107
50,Kingman,Arizona,17014,33877,42646,53039,78163,142297,2.0,6.9,12.0,41.1,15.0,51.4,102.0,349.5,237.0,812.2,1119.0,3834.7,89.0,305.0,15.0,51.4,366.6,125283
51,Mesa,Arizona,22667,40573,50615,61670,98347,168289,23.0,4.7,252.0,51.2,454.0,92.2,1318.0,267.7,1878.0,381.5,7930.0,1610.9,884.0,179.6,23.0,4.7,237.0,145622
52,Nogales,Arizona,11482,22693,27929,34765,66588,133962,0.0,0.0,0.0,0.0,1.0,5.0,42.0,211.3,68.0,342.1,385.0,1936.8,120.0,603.7,0.0,0.0,193.5,122480
53,Peoria,Arizona,31411,51971,66163,80846,119272,197916,4.0,2.4,66.0,39.8,78.0,47.0,266.0,160.3,533.0,321.3,2615.0,1576.4,237.0,142.9,7.0,4.2,179.8,166505
54,Phoenix,Arizona,20760,39112,49328,61266,100807,189231,157.0,9.5,1142.0,69.5,3293.0,200.3,7919.0,481.6,12801.0,778.6,39899.0,2426.7,7653.0,465.5,190.0,11.6,419.9,168471
55,Prescott,Arizona,20669,38238,48259,57722,95274,166996,0.0,0.0,11.0,25.6,15.0,34.9,131.0,304.8,121.0,281.6,757.0,1761.5,25.0,58.2,2.0,4.7,186.7,146327
56,Scottsdale,Arizona,31385,59438,76543,98352,160917,250001,5.0,2.0,103.0,40.9,100.0,39.7,188.0,74.7,878.0,348.6,4346.0,1725.7,246.0,97.7,23.0,9.1,164.8,218616
57,Surprise,Arizona,31619,51242,61035,73455,103543,157564,2.0,1.5,18.0,13.3,47.0,34.7,53.0,39.2,228.0,168.5,2018.0,1491.0,175.0,129.3,6.0,4.4,113.6,125945
58,Tempe,Arizona,19579,39928,50474,63208,100430,183475,5.0,2.7,151.0,81.1,229.0,123.1,498.0,267.6,1076.0,578.2,6120.0,3288.8,473.0,254.2,20.0,10.7,353.1,163896
59,Tucson,Arizona,15519,29423,37973,47488,76297,135909,46.0,8.6,498.0,93.6,1431.0,268.8,2293.0,430.8,4424.0,831.1,21125.0,3968.5,2407.0,452.2,156.0,29.3,512.0,120390
60,Yuma,Arizona,19437,35081,44216,54660,83883,147374,5.0,5.2,49.0,51.3,90.0,94.2,347.0,363.3,502.0,525.5,1874.0,1961.9,219.0,229.3,34.0,35.6,286.0,127937
61,Arkadelphia,Arkansas,9295,20551,29872,36960,71274,130369,0.0,0.0,6.0,55.5,5.0,46.3,47.0,434.8,23.0,212.8,334.0,3089.7,10.0,92.5,0.0,0.0,291.1,121074
62,Beebe,Arkansas,17889,33596,42737,55790,83045,169148,0.0,0.0,4.0,54.3,1.0,13.6,39.0,529.2,87.0,1180.5,157.0,2130.3,9.0,122.1,0.0,0.0,330.9,151259
63,Benton,Arkansas,26173,44092,55128,70978,106380,174824,0.0,0.0,16.0,43.6,20.0,54.5,108.0,294.3,228.0,621.2,1079.0,2939.9,123.0,335.1,2.0,5.4,298.0,148651
64,Bentonville,Arkansas,32352,61902,76447,92252,137878,247972,0.0,0.0,16.0,32.5,8.0,16.2,45.0,91.3,104.0,210.9,723.0,1466.5,38.0,77.1,1.0,2.0,128.7,215620
65,Blytheville,Arkansas,12630,26046,33880,42558,71941,124933,9.0,63.5,2.0,14.1,19.0,134.0,79.0,557.0,179.0,1262.0,727.0,5125.5,15.0,105.8,0.0,0.0,591.6,112303
66,Bryant,Arkansas,30608,51874,62302,73371,103992,158440,0.0,0.0,6.0,42.3,4.0,28.2,30.0,211.6,100.0,705.2,551.0,3885.5,38.0,268.0,0.0,0.0,310.8,127832
