,Unnamed: 0,city,state,20th,40th,Median,60th,80th,95th,20th % of Median,40th % of Median,60th % of Median,80th % of Median,95th % of Median,murders,murdersper100k,rapes,rapesper100k,robberies,robberiesper100k,assaults,assaultsper100k,burglaries,burglariesper100k,thefts,theftsper100k,autothefts,autotheftsper100k,arson,arsonper100k,crime index,income inequality
0,0,Alabaster,Alabama,33578,61734,73325,85277,122176,177359,0.45793385612001364,0.8419229457892943,1.1630003409478349,1.6662257074667577,2.4188066825775656,0.0,0.0,0.0,0.0,5.0,15.0,69.0,207.5,44.0,132.3,462.0,1389.3,21.0,63.2,,,115.9,143781
1,1,Albertville,Alabama,17270,27280,32042,43119,73798,128375,0.5389800886336683,0.8513825603894888,1.3457025154484739,2.303164596467137,4.0064602708944514,0.0,0.0,7.0,32.4,7.0,32.4,8.0,37.1,145.0,671.7,413.0,1913.1,90.0,416.9,,,200.0,111105
2,2,Anniston,Alabama,12553,22337,30539,39541,65472,143838,0.4110481679164347,0.7314253904842988,1.2947706211729264,2.1438815940273095,4.709977405939946,14.0,63.8,47.0,214.1,71.0,323.4,622.0,2833.1,542.0,2468.7,700.0,3188.3,110.0,501.0,,,1302.8,131285
3,3,Athens,Alabama,16777,33804,45920,57566,104817,199193,0.365352787456446,0.7361498257839721,1.2536149825783973,2.282600174216028,4.337826655052265,1.0,3.8,0.0,0.0,12.0,46.1,0.0,0.0,86.0,330.7,597.0,2295.8,12.0,46.1,,,140.2,182416
4,4,Auburn,Alabama,10718,26433,38912,53137,106853,198103,0.27544202302631576,0.6793020148026315,1.3655684621710527,2.746016652960526,5.091051603618421,4.0,6.2,17.0,26.2,30.0,46.3,166.0,256.1,156.0,240.6,1454.0,2242.8,101.0,155.8,,,217.4,187385
5,5,Bessemer,Alabama,12497,24200,30682,39724,68488,115894,0.4073072159572388,0.7887360667492341,1.294700475849032,2.2321882536992375,3.7772635421419727,10.0,37.9,25.0,94.8,117.0,443.9,635.0,2409.0,495.0,1877.8,1867.0,7082.7,219.0,830.8,,,1247.9,103397
6,6,Birmingham,Alabama,12217,24676,32404,41532,68837,125611,0.3770213553882237,0.7615109245772127,1.281693618071843,2.124336501666461,3.8764041476360944,79.0,37.2,159.0,74.9,1114.0,524.8,2355.0,1109.3,3146.0,1481.9,8838.0,4163.2,1515.0,713.6,145.0,68.3,841.0,113394
7,7,Cullman,Alabama,15091,33146,40129,49040,80061,131531,0.3760621994069127,0.8259861945226644,1.2220588601759326,1.9950908320665852,3.2777044032993596,1.0,6.4,8.0,51.2,1.0,6.4,12.0,76.9,70.0,448.3,505.0,3234.5,39.0,249.8,,,251.8,116440
8,8,Daphne,Alabama,24224,48136,61508,76649,118944,203269,0.3938349482994082,0.7825973857059244,1.2461631007348637,1.9337972296286663,3.3047571047668596,0.0,0.0,1.0,3.7,9.0,33.7,24.0,90.0,74.0,277.5,464.0,1739.8,18.0,67.5,,,125.5,179045
9,9,Decatur,Alabama,16869,32375,42602,54318,88674,154311,0.3959673254776771,0.7599408478475189,1.2750105628843715,2.0814515750434253,3.6221538894887564,9.0,16.4,20.0,36.4,53.0,96.4,117.0,212.9,431.0,784.2,1680.0,3056.9,173.0,314.8,,,335.7,137442
10,10,Dothan,Alabama,16714,33081,42569,53758,89563,182530,0.39263313678968265,0.7771148018511123,1.2628438535084217,2.103948882989969,4.287862059244991,6.0,8.7,36.0,52.3,68.0,98.7,472.0,685.1,626.0,908.6,1909.0,2770.9,200.0,290.3,,,423.5,165816
11,11,Enterprise,Alabama,22040,43422,54217,69205,105169,170287,0.40651456185329327,0.8008927089289337,1.276444657579726,1.9397790360956895,3.1408414334987182,1.0,3.5,10.0,35.4,11.0,39.0,83.0,293.9,141.0,499.3,578.0,2046.8,48.0,170.0,,,236.3,148247
12,12,Fairhope,Alabama,30198,51456,61723,79381,128553,235087,0.4892503604815061,0.8336600618894091,1.2860846037943716,2.082740631531196,3.8087422840756284,0.0,0.0,6.0,29.7,4.0,19.8,42.0,208.1,89.0,441.0,490.0,2428.1,27.0,133.8,,,210.1,204889
13,13,Florence,Alabama,13520,26812,37058,45528,73823,143787,0.3648335042366021,0.7235144907982082,1.2285606346807707,1.9920934750930972,3.8800528900642237,1.0,2.5,30.0,74.9,40.0,99.9,118.0,294.6,319.0,796.3,1239.0,3092.9,145.0,362.0,,,362.2,130267
14,14,Foley,Alabama,18773,36438,42172,54194,78652,133762,0.44515318220620315,0.8640330076828228,1.2850706629991464,1.8650289291473015,3.171820165038414,0.0,0.0,14.0,158.7,18.0,204.1,61.0,691.7,114.0,1292.7,800.0,9071.3,42.0,476.2,0.0,0.0,808.3,114989
15,15,Gadsden,Alabama,14087,23647,30496,38598,65466,116663,0.4619294333683106,0.7754131689401889,1.265674186778594,2.146707764952781,3.8255181007345227,3.0,8.4,23.0,64.5,63.0,176.6,524.0,1469.2,497.0,1393.5,1914.0,5366.6,230.0,644.9,,,779.1,102576
16,16,Gardendale,Alabama,27013,47965,62668,73532,106833,175953,0.43104933937575796,0.7653826514329483,1.1733580136592838,1.7047456437097084,2.8077008999808513,1.0,7.3,2.0,14.6,6.0,43.9,101.0,738.6,68.0,497.3,344.0,2515.5,18.0,131.6,,,333.2,148940
17,17,Hartselle,Alabama,21587,42860,54248,65304,91688,169091,0.39793172098510543,0.7900752101459961,1.203804748562159,1.6901636926706975,3.116999705058251,0.0,0.0,1.0,6.9,1.0,6.9,20.0,137.9,35.0,241.3,260.0,1792.7,16.0,110.3,,,132.6,147504
